,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
264,Pemangkat,ID,79.23,light rain,1.1667,108.9667,Hotel Duyung Permai 2
265,Alamos,MX,77.43,clear sky,27.0167,-108.9333,Luz del Sol
268,Aksay,RU,79.25,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
271,Primero De Enero,CU,82.08,broken clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
272,Cockburn Town,TC,82.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Jorochito,BO,80.92,clear sky,-18.05,-63.4333,Tom´s Hauss
275,Sao Gabriel Da Cachoeira,BR,81.95,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
276,Weligama,LK,78.75,overcast clouds,5.9667,80.4167,Weligama Bay Resort
277,Palmerston,AU,75.18,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
278,Kalia,BD,81.79,overcast clouds,23.0396,89.6328,সামিয়া এন্টারপ্রাইজ
281,Harper,LR,78.39,moderate rain,4.375,-7.7169,Screensaver
284,Tiznit,MA,79.25,few clouds,29.5833,-9.5,
285,Boyany,UA,76.33,overcast clouds,48.2708,26.1262,Bukovina star
292,Ugoofaaru,MV,81.77,light rain,5.6667,73.0,Ungoofaaru Inn
297,Lorengau,PG,81.7,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
306,Kerman,IR,78.66,clear sky,30.2832,57.0788,هتل آپارتمان آسام
311,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
313,Zhuhai,CN,82.85,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
318,Tual,ID,82.47,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
320,Moroni,KM,77.0,few clouds,-11.7022,43.2551,Hotel Les Arcades
328,Davila,PH,80.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
331,Samarai,PG,81.36,clear sky,-10.6167,150.6667,Nuli Sapi
332,Yarada,IN,79.12,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
335,Nepa Nagar,IN,77.45,broken clouds,21.4667,76.4,Nemade Farm House Siwal
349,Auki,SB,76.23,few clouds,-8.7676,160.7034,Auki Motel
352,Heilbron,ZA,85.03,clear sky,-27.2812,27.9709,Guest house
366,Madimba,TZ,76.77,clear sky,-10.4,40.3333,
368,Labuhan,ID,81.97,moderate rain,-6.8844,112.2051,DoubleFAG
370,Ca Mau,VN,77.74,light rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
377,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
382,Ambilobe,MG,75.22,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
384,Miram Shah,PK,80.4,clear sky,33.0086,70.0697,Bachelor Hostel
388,Caravelas,BR,78.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
396,Rio Cuarto,AR,80.33,clear sky,-33.1307,-64.3499,Hotel Menossi
399,Marica,BR,75.15,overcast clouds,-22.9194,-42.8186,Marica Hills
402,Juru,MY,78.91,few clouds,5.312,100.4423,Starway Hotel
403,Acarau,BR,88.95,scattered clouds,-2.8856,-40.12,castelo pizzaria
405,Mwene-Ditu,CD,85.82,broken clouds,-7.0,23.45,African'zuri
406,Ihosy,MG,75.63,clear sky,-22.4,46.1167,Tamana hôtel
408,Arua,UG,75.07,light rain,3.0201,30.9111,Golden Courts Hotel
412,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
413,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
414,Salamiyah,SY,88.0,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
419,Sabang,ID,81.72,overcast clouds,5.8933,95.3214,Hotel Citra
424,Sao Filipe,CV,80.29,few clouds,14.8961,-24.4956,Hotel Xaguate
426,Gondanglegi,ID,76.03,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
437,Muli,MV,82.08,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
438,Bosaso,SO,86.38,few clouds,11.2842,49.1816,Red Sea Hotel
441,Sur,OM,84.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
446,General Jose Eduvigis Diaz,PY,77.09,clear sky,-27.1667,-58.4167,
449,Dingle,PH,77.04,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
451,Yevlax,AZ,80.58,clear sky,40.6089,47.1492,Yevlax Şeher Heyder Eliyev Parki
454,Wharton,US,75.94,clear sky,29.3116,-96.1027,Americas Best Value Inn Wharton
456,Tomatlan,MX,77.88,overcast clouds,19.9333,-105.25,El Salvial
